Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
0.357203183944452,0.4074422959441993,0.7249470024857282,0.4515167294434785,0.2551073606781767
0.7302504859481173,0.0519501416145375,0.3516147489283239,0.5284133207415752,0.6641591644837644
0.8369869039292606,0.1622274854201471,0.1646810012707619,0.816008267290984,0.681869972461906
0.4134186341509948,0.3630591424919334,0.1315642441346394,0.9383496434501268,0.236701619833358
0.6160463483973722,0.2478988134274907,0.9097397588330854,0.6989657172987241,0.4637742296745702
0.9110092414908508,0.8834116485403513,0.2171105039714697,0.4119158525887093,0.0088733467727429
0.8870286643797778,0.0530773741508024,0.8286910966536326,0.3183268559661604,0.2775453060939366
0.3370730809289304,0.8093086270684356,0.3160691736602111,0.5173310860000757,0.4494695761307025
0.8004298219360398,0.1369452953655778,0.7152010259450257,0.0512127423369023,0.055772430762856
0.7557470481645557,0.982448017436652,0.3406247512656929,0.4830818610309222,0.401817121473882
0.7298676676409566,0.6706015186663119,0.6500920529009513,0.840329188500432,0.5484328220736413
0.5346904242298134,0.0673522309307075,0.2956150752256349,0.7694669246943564,0.7838393636593923
0.1815638643466472,0.3842675150076421,0.0743889904724796,0.0168845876551513,0.5138583636113463
0.398635523898048,0.0442220542256276,0.4336675605288924,0.4699796133347724,0.8995990953037692
0.3448437414731502,0.5330088378164101,0.2133713604767805,0.251364957758308,0.0153912616040265
0.7695420055336905,0.7238410349881897,0.2655377817464751,0.7333813536938634,0.0421585811763893
0.4735319863775207,0.0442346507220517,0.920673907837316,0.378801389540623,0.1674817378029636
0.0761168771963413,0.8390551760909584,0.8634357844761807,0.977037472295644,0.1577869976233992
0.7015290788843603,0.9505333744053855,0.3055471273958868,0.6872423648069309,0.5557839169573081
0.0241352066126938,0.0506877043015525,0.8350279241038178,0.6695663066079517,0.1961739324594644
0.6843716713784903,0.0768266294867731,0.2646832550671242,0.3436741914158929,0.4345349301955498
0.6028609368739161,0.7319486205053791,0.7814568716063709,0.0850500517872522,0.226912718953122
0.6861770575899097,0.1344935480616129,0.7918600416431086,0.2417658994514796,0.3752912288225044
0.8623600058895711,0.5137729228170963,0.6055294291247929,0.1334657853929872,0.3887779037957387
0.298692778626806,0.568428591632464,0.7093788783494404,0.7776766211252394,0.15805742769238
0.6830863778670934,0.0237362607203992,0.8192465642836799,0.0964380017692885,0.3305526544132362
0.3828346646164807,0.9884453471815232,0.50763033400724,0.4716709952130682,0.4722975733132187
0.3596858822922661,0.0407442879603791,0.2442356031790455,0.4377185835409451,0.3566344823296238
0.6420212920400457,0.3621619904603251,0.8983913217572123,0.0516097404581132,0.4713513242843525
0.7184227762270975,0.4613734218817347,0.8023188325309683,0.1950667516271615,0.3559508977641563
0.3962274581213456,0.0294366949729699,0.2919449761195504,0.5406476863630133,0.5502747071184804
0.3201063713536606,0.336173787178089,0.9524133543875496,0.6278651970709199,0.4976471291880794
0.8016960821142253,0.9609253702651038,0.5936574782833455,0.6517359787213909,0.5324181192132208
0.9644651665450712,0.763075985221628,0.2290656917463598,0.6920352844979192,0.6694977771668456
0.1636509828359158,0.6735176032505311,0.7786451623864006,0.0965922658135834,0.5272473289156321
0.4427661935415284,0.3926787532024128,0.2078907757091277,0.7884560250047906,0.9068696255745728
0.0807672430307387,0.5654887164388295,0.0641049362761025,0.4837004322954703,0.0877629305655882
0.8396009489346267,0.5617321303732565,0.3953979207801277,0.0336859567993733,0.0445678128372409
0.9004098273377297,0.488797266838434,0.7279103167416592,0.5306801651237776,0.8874321459572732
0.290405243740039,0.7189107109107353,0.777755990180241,0.4399371575872681,0.3495880427098119
0.0485439873486274,0.0259124308456236,0.0214166910631316,0.9213475398273284,0.5199217055514178
0.9559341236603796,0.9184668362684008,0.6572965352880608,0.8613071722079768,0.4858207311658206
