Writing_Speed_wpm,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Gender,Age,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15
60,0.357203183944452,0.4074422959441993,0.7249470024857282,0.4515167294434785,0.2551073606781767,Male,45,0.1461394073328027,0.2898952564627183,0.2838149164550329,0.617406456916821,0.9962501539128462,0.9859271676490726,0.7456261890117699,0.9239223210834904,0.0391550811906605,0.2773610167851347,0.8320975452920999,0.3191277696238446,0.1992128832177576,0.2410811130458678,0.3759780190875958
32,0.7302504859481173,0.0519501416145375,0.3516147489283239,0.5284133207415752,0.6641591644837644,Male,36,0.8028333207357056,0.5489344910544335,0.4593187300897926,0.793431748618685,0.5634192035507319,0.8939788550241454,0.1143796387943172,0.4841665796094638,0.022397224475854,0.436322161489087,0.9086274688436028,0.2207438266262672,0.6509474342629301,0.568464262155435,0.6600616991273228
10,0.8369869039292606,0.1622274854201471,0.1646810012707619,0.816008267290984,0.681869972461906,Other,34,0.4525125361278549,0.4417055795272878,0.8449200247416693,0.6019600044439654,0.4807481978903548,0.9412735079356824,0.950571177175888,0.4856614348814285,0.2773882949978498,0.8735601054626662,0.566972576099886,0.2054019789552833,0.5377996671617656,0.3235193365673724,0.3733582101942272
12,0.4134186341509948,0.3630591424919334,0.1315642441346394,0.9383496434501268,0.236701619833358,Male,26,0.8326616614100014,0.2792829598252337,0.7489736694479057,0.7981546832611195,0.9521903955881696,0.8310414158469308,0.2172441096879428,0.3517005481405142,0.4648585550568148,0.8677577542843975,0.298406914871445,0.3502103112515267,0.5911222582684846,0.802049234133342,0.1313239943469013
11,0.6160463483973722,0.2478988134274907,0.9097397588330854,0.6989657172987241,0.4637742296745702,Other,57,0.9277848946040091,0.8527977594848097,0.9447889775462688,0.7726199842638812,0.5203046265119913,0.7975050731448667,0.186377930596305,0.1136225015662367,0.2995138582041476,0.295555227390168,0.3650654905224209,0.2106333261851809,0.723194770149382,0.0440851643792111,0.0143511206720736
44,0.9110092414908508,0.8834116485403513,0.2171105039714697,0.4119158525887093,0.0088733467727429,Male,52,0.6381071106898705,0.1447401639244522,0.5283649940891713,0.2107953828646366,0.410935820832334,0.7391723890614369,0.9867576608395532,0.2644144656196664,0.2072724539742555,0.1459195657330272,0.5125760562661283,0.5280035760853354,0.4886643374404462,0.3372510183378564,0.1599833372172802
40,0.8870286643797778,0.0530773741508024,0.8286910966536326,0.3183268559661604,0.2775453060939366,Other,20,0.1632890677503791,0.4562613880107161,0.3532009044071145,0.5755355159530957,0.9253433894836646,0.3672615382724593,0.2511576912804272,0.6192000957442069,0.7076507265201042,0.4996392895821485,0.9997153523372287,0.9487200890417284,0.0210700022602763,0.8638501323495182,0.4972329567884801
27,0.3370730809289304,0.8093086270684356,0.3160691736602111,0.5173310860000757,0.4494695761307025,Male,19,0.9698879558129878,0.5732004856936032,0.4356876533165091,0.1382942803834227,0.6339394206500527,0.113894541946885,0.1691195429879727,0.4034214198795368,0.8489740878894669,0.9066375683982372,0.8917068360888664,0.2491354861653294,0.6890383568966761,0.1105086247603803,0.1054299834506611
53,0.8004298219360398,0.1369452953655778,0.7152010259450257,0.0512127423369023,0.055772430762856,Other,50,0.1846072472510462,0.7915700908492408,0.507967406353248,0.6646518821728997,0.1987548519650891,0.4577074155385061,0.473256190021757,0.9494215216333474,0.8845810165985645,0.8755053719682394,0.5035684012397136,0.4515216567905231,0.5512755479555302,0.4381938552789191,0.5008346215757238
58,0.7557470481645557,0.982448017436652,0.3406247512656929,0.4830818610309222,0.401817121473882,Male,38,0.7547398253696965,0.7410015729144088,0.4359469360976982,0.7535272483189208,0.1547325862065066,0.2938098397003424,0.1279150623782322,0.3860980141920481,0.199647413846253,0.6432881878691777,0.4905483957631966,0.4312743107199565,0.1674726180142141,0.6772778940595763,0.6547098668263687
